year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1998,40,SIC,5485.427417508362,1913.074956741667,2018.0278203833327,34.87558600512192,36.7888893022666
1998,48,SIC,1785.1075298666647,407.1349876583333,428.96479390833315,22.8073088509544,24.030193516710664
1998,49,SIC,1496.866936566666,474.51805611666674,504.1334843416667,31.70075071636357,33.6792450969615
1998,50,SIC,4439.184382308339,260.2880210333333,275.7164970916667,5.8634199126909365,6.210971956706525
1998,52,SIC,19915.19080655003,1034.869657675001,1129.0351283666669,5.196383342381216,5.669215722479202
1998,60,SIC,7623.073202008302,205.30311238333323,256.44260644999986,2.69318038726489,3.364031797339161
1998,72,SIC,3691.4374005083414,201.44693190833334,218.90392518333334,5.457140675894773,5.930045709381079
1998,75,SIC,6843.053608441661,206.16453872499997,259.8573236749999,3.0127564464886447,3.7973883962334782
1998,79,SIC,7292.515392024997,833.6396238583347,961.7749826333348,11.431441403195288,13.188521805317269
1998,80,SIC,10821.566022058327,1042.7576835666662,1197.813723925,9.63592220794239,11.06876510741066
1998,82,SIC,10362.389256966664,3542.6057832333404,4105.35143025001,34.18715216523676,39.61780751953484
1998,83,SIC,2671.8469983333403,197.47283924166672,225.75128169166672,7.390873780004897,8.449259326319476
1998,89,SIC,4899.411234450001,136.98836522500002,175.09878568333332,2.7960168818198436,3.5738740290289104
1998,90,SIC,5899.187620341655,1959.629262891669,2212.712404766663,33.218629225055494,37.50876471764959
1998,07,SIC,1829.7359615083315,35.69419355833333,41.865739858333335,1.950783845823801,2.288075478596462
1999,10,SIC,7281.083029025039,1420.3962342749992,1478.4205999833325,19.508035118028243,20.30495455263745
1999,15,SIC,6746.593027316694,1362.0036165166657,1416.0691379333332,20.188020990772166,20.98939616188088
1999,20,SIC,19408.218161983365,3036.693416241668,3226.5947055416696,15.646430758852011,16.624888893004577
1999,40,SIC,5622.961772858328,1902.8576177749974,2026.0322856083324,33.84084215119455,36.031407778510236
1999,48,SIC,1870.8553133916657,437.22096009166694,462.4680765833338,23.37011082375103,24.71960676343952
1999,49,SIC,1450.1733344583322,454.95887665000043,478.2760137083337,31.3727239247532,32.98061013423468
1999,50,SIC,4586.358483383337,250.4902729083333,282.87193289999993,5.461637458473322,6.167680392295163
1999,52,SIC,20185.314809325035,1040.490160333332,1138.197754116663,5.154688793125264,5.6387416538623825
1999,60,SIC,7780.1878127416685,200.99836900833327,244.29887458333337,2.5834642279349196,3.1400125609210026
1999,72,SIC,3673.5130814916765,182.02557498333317,204.6183039916666,4.955081714570059,5.5700986889797255
1999,75,SIC,7288.194680866682,246.11995214999985,292.7176506833333,3.3769673139512277,4.016325901005221
1999,79,SIC,7396.718592958338,875.3802082499993,1001.3885987666664,11.834710179232175,13.538281687774175
1999,80,SIC,10992.148359358333,1030.4175669249998,1183.763792908334,9.374123540169817,10.769175908188307
1999,82,SIC,10820.15200820834,3787.366124025004,4294.415683866663,35.00289202177425,39.6890513239449
1999,83,SIC,2792.528713383339,227.90431584166674,257.4603033666667,8.161216561513708,9.219611677859383
1999,89,SIC,5137.500181383326,133.47281017500006,164.76063966666658,2.598010811924898,3.2070196369765
1999,90,SIC,5966.310533591671,1859.6672804749992,2146.1067706916665,31.16946846807007,35.970416870000356
1999,07,SIC,1821.2835091583352,56.07507537500001,63.684925541666665,3.0788767972161475,3.49670576938882
2000,10,SIC,7656.772760683305,1444.7434194333302,1516.0798528083305,18.86882978755659,19.800507344206892
2000,15,SIC,7156.892185933344,1389.7249756416677,1458.285949525001,19.417995123262166,20.375966434023105
2000,20,SIC,19230.10700435835,2842.495771383329,3011.4654322833276,14.781487023130449,15.660159517577323
2000,40,SIC,5764.657601466656,1922.9844136083266,2032.1180057416602,33.35817227234931,35.25132186904985
2000,48,SIC,1962.963203649998,406.4075038833334,441.7253985416667,20.703775961141098,22.502989241994353
2000,49,SIC,1435.3768524999994,426.3044166833332,446.15018270000013,29.699825236894256,31.082442351145573
2000,50,SIC,4779.549230233345,245.53875292500004,269.5946565500002,5.13727845655044,5.640587502366581
2000,52,SIC,20451.705355933293,963.7656515916661,1063.8621586999998,4.7123974984905885,5.20182615671881
2000,60,SIC,7686.437087841632,173.54143784999997,212.21566109999995,2.2577617674710035,2.760910662180292
2000,72,SIC,3676.5473239083235,201.26225427499998,215.42374021666663,5.474219057815629,5.859403435820926
2000,75,SIC,7934.153753191641,236.9295647833333,298.8012696083332,2.9861983036064124,3.7660130986009137
2000,79,SIC,7184.791551616631,894.5868596916673,1024.4146076583334,12.451117798822969,14.258097820914964
2000,80,SIC,10966.319581749998,1118.1337733583334,1285.6938172750006,10.196071389521757,11.724022883799911
2000,82,SIC,10878.364543058377,3748.2091002249877,4291.327838116654,34.455630581131494,39.4482812295071
2000,83,SIC,2959.3713649249994,214.79801013333335,259.6196462166668,7.258231010786882,8.772797131638342
2000,89,SIC,5304.644880666654,145.4674856833333,171.87942362499987,2.7422662394141617,3.240168333443636
2000,90,SIC,5978.128607758352,1913.28230748333,2135.3275003583285,32.00470302696888,35.71899570021165
2000,07,SIC,1939.242841099997,49.13796085,63.61356514166664,2.5338735205606056,3.2803300233189523
2001,10,SIC,7859.513812475003,1486.9794658583328,1545.592925475,18.91948409707133,19.66524854275031
2001,15,SIC,7329.084929758336,1421.2248060500021,1475.4891423583351,19.391572340489503,20.13196949550135
2001,20,SIC,18220.793745866664,2678.6232203249997,2830.873468308333,14.700914008933546,15.53649916568815
2001,40,SIC,5620.08459685833,1866.0445901166643,1972.26922728333,33.20314059257751,35.09323024044591
2001,48,SIC,2042.230719675002,419.6262472666667,440.3845742500002,20.547445654595066,21.56389922095004
2001,49,SIC,1375.7690737083356,422.10222119166673,449.9833723666668,30.6811825660469,32.707769128270414
2001,50,SIC,4551.538195299988,245.9671030999999,267.0588761833332,5.4040434803774815,5.867442273891137
2001,52,SIC,20640.440338891585,941.4713582583346,1034.2016644750008,4.561294927823679,5.010560082511004
2001,60,SIC,7835.642411450019,193.43448719166662,253.89674762500005,2.4686487340081507,3.2402799195377705
2001,72,SIC,3649.326801224991,191.01904638333332,204.84363260833325,5.234363946775412,5.613189603615992
2001,75,SIC,7963.052701149979,264.8863390083334,306.32957094999983,3.326442118988865,3.846886143372647
2001,79,SIC,7372.038377858336,912.08912255,1028.719380233334,12.372278544960214,13.954341085947917
2001,80,SIC,11245.573619316636,1111.766699166666,1260.3394490249998,9.886260468358618,11.207426954727342
2001,82,SIC,11223.952223116736,3880.4081304750016,4388.103730958339,34.57256457741288,39.095887471087465
