year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
2002,81,NAICS,972,3269.0,42.0,720.4150342560467,2.1674554498703613,1.619047619047619
2002,92,NAICS,3880,13736.0,278.0,616.3136283548552,2.5543801569725297,
2003,11,NAICS,2339,5015.0,279.0,602.6319684262456,2.7429305912596402,1.6272401433691757
2003,21,NAICS,588,923.0,90.0,1336.580216535433,4.595294117647059,1.4222222222222223
2003,22,NAICS,1240,3176.0,64.0,1816.4702216066482,4.38301043219076,1.515625
2003,23,NAICS,53804,99903.0,1979.0,928.6649963550526,4.329645582742042,1.659423951490652
2003,31-33,NAICS,22983,86707.0,1199.0,925.143562958093,2.5813377885031867,1.902418682235196
2003,42,NAICS,2428,7415.0,195.0,881.2403573591763,2.7266824085005905,1.7384615384615385
2003,44-45,NAICS,3165,7988.0,207.0,813.5813376186103,2.399930020993702,1.816425120772947
2003,48-49,NAICS,3280,6665.0,242.0,983.8714310464312,2.505351083268076,1.5578512396694215
2003,51,NAICS,548,1220.0,41.0,1299.6263736263736,2.5205254515599345,1.5365853658536586
2003,52,NAICS,177,230.0,10.0,1022.5478260869565,2.987804878048781,1.6
2003,53,NAICS,769,1842.0,51.0,858.8105964467006,3.2341880341880342,1.6470588235294117
2003,54,NAICS,855,1742.0,53.0,1266.9382202304735,3.655944055944056,1.6415094339622642
2003,55,NAICS,19,47.0,0.0,1447.4761904761904,4.909090909090909,
2003,56,NAICS,3254,7053.0,348.0,1091.7796653005464,3.6190634340750583,1.5344827586206897
2003,61,NAICS,1448,3215.0,43.0,748.5657686212361,1.9750623441396506,1.627906976744186
2003,62,NAICS,3171,7566.0,50.0,850.9019119769121,2.224331122798994,1.64
2003,71,NAICS,628,1645.0,63.0,784.4359649122807,2.7746077032810277,1.492063492063492
2003,72,NAICS,1710,3920.0,66.0,716.0878694158075,2.2040133779264215,1.878787878787879
2003,81,NAICS,2837,9641.0,116.0,574.519566526189,2.289768662055807,1.6551724137931034
2003,92,NAICS,3656,8339.0,139.0,543.7045560165975,2.2213976499690786,1.6402877697841727
2004,11,NAICS,2119,4871.0,269.0,799.9861775362318,3.08953488372093,1.550185873605948
2004,21,NAICS,549,1072.0,100.0,1252.1875,3.6523809523809523,1.47
