INDUSTRY_CODE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,YEAR,INDUSTRY_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,EMP_PRSE,PCT_TOTAL,PCT_RPT,MEAN_PRSE,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,year,OWNERSHIP
23,6497870.0,22.36,46500.0,18.84,39190.0,2009,Construction,00-0000,Industry Total,total,0.2,100.00,100,0.2,10.75,13.82,27.55,37.9,22350.0,28750.0,57310.0,78840.0,,,,
31-33,12444560.0,21.43,44560.0,17.09,35540.0,2009,Manufacturing,00-0000,Industry Total,total,0.3,100.00,100,0.4,9.68,12.41,25.32,38.78,20130.0,25810.0,52660.0,80670.0,,,,
42,5734040.0,24.0,49920.0,18.04,37520.0,2009,Wholesale Trade,00-0000,Industry Total,total,0.2,100.00,100,0.3,9.65,12.72,28.22,45.55,20060.0,26450.0,58690.0,94740.0,,,,
44-45,14974830.0,13.79,28680.0,10.58,22000.0,2009,Retail Trade,00-0000,Industry Total,total,0.1,100.00,100,0.2,7.58,8.55,15.12,22.78,15770.0,17780.0,31440.0,47390.0,,,,
48-49,5085590.0,20.56,42760.0,18.61,38700.0,2009,Transportation and Warehousing,00-0000,Industry Total,total,0.5,100.00,100,0.4,10.0,13.2,25.25,31.17,20800.0,27460.0,52530.0,64840.0,,,,
51,2876820.0,28.4,59070.0,23.61,49120.0,2009,Information,00-0000,Industry Total,total,0.5,100.00,100,1.2,9.91,14.59,35.92,52.57,20620.0,30340.0,74700.0,109340.0,,,,
52,5706700.0,27.31,56810.0,20.11,41830.0,2009,Finance and Insurance,00-0000,Industry Total,total,0.3,100.00,100,0.4,10.84,14.06,32.56,51.51,22540.0,29240.0,67720.0,107140.0,,,,
53,2018810.0,19.16,39850.0,14.75,30680.0,2009,Real Estate and Rental and Leasing,00-0000,Industry Total,total,0.3,100.00,100,0.4,8.41,10.59,21.61,33.49,17490.0,22040.0,44950.0,69670.0,,,,
54,7610310.0,32.81,68240.0,26.3,54710.0,2009,"Professional, Scientific, and Technical Services",00-0000,Industry Total,total,0.2,100.00,100,0.3,11.52,16.6,41.64,62.21,23970.0,34520.0,86620.0,129400.0,,,,
55,1919180.0,32.39,67380.0,25.91,53890.0,2009,Management of Companies and Enterprises,00-0000,Industry Total,total,0.7,100.00,100,0.5,12.28,16.89,40.94,60.54,25550.0,35130.0,85150.0,125930.0,,,,
56,7528410.0,16.17,33630.0,12.49,25980.0,2009,Administrative and Support and Waste Management and Remediation Services,00-0000,Industry Total,total,0.3,100.00,100,0.3,8.05,9.47,18.11,28.33,16750.0,19690.0,37670.0,58930.0,,,,
61,12795350.0,23.09,48030.0,20.32,42270.0,2009,Educational Services,00-0000,Industry Total,total,0.4,100.00,100,0.4,9.48,13.57,28.93,39.62,19730.0,28220.0,60170.0,82410.0,,,,
62,16867510.0,21.84,45430.0,15.96,33190.0,2009,Health Care and Social Assistance,00-0000,Industry Total,total,0.3,100.00,100,0.2,8.76,11.13,26.16,39.08,18210.0,23140.0,54410.0,81290.0,,,,
71,1928740.0,15.41,32060.0,11.14,23160.0,2009,"Arts, Entertainment, and Recreation",00-0000,Industry Total,total,0.5,100.00,100,0.4,7.55,8.55,17.29,27.39,15700.0,17780.0,35960.0,56960.0,,,,
72,11282380.0,10.56,21970.0,8.88,18470.0,2009,Accommodation and Food Services,00-0000,Industry Total,total,0.1,100.00,100,0.2,7.25,7.72,11.28,15.75,15080.0,16060.0,23450.0,32750.0,,,,
81,3823970.0,16.76,34850.0,13.06,27170.0,2009,"Other Services (except Federal, State, and Local Government)",00-0000,Industry Total,total,0.2,100.00,100,0.3,7.82,9.23,19.79,29.8,16270.0,19200.0,41150.0,61990.0,,,,
92,9928110.0,24.62,51220.0,21.48,44680.0,2009,"Federal, State, and Local Government (OES Designation)",00-0000,Industry Total,total,0.3,100.00,100,0.3,10.94,15.14,30.75,42.88,22760.0,31490.0,63970.0,89190.0,,,,
11,385730.0,11.36,23630.0,8.85,18410.0,2007,"Agriculture, Forestry, Fishing, and Hunting",00-0000,Industry Total,,0.7,100.00,100,0.6,7.5,7.72,12.48,18.55,15600.0,16050.0,25970.0,38580.0,,,,
21,644070.0,23.17,48190.0,19.2,39940.0,2007,Mining,00-0000,Industry Total,,0.9,100.00,100,1.0,10.83,14.13,27.06,39.88,22520.0,29390.0,56280.0,82940.0,,,,
22,542230.0,27.83,57890.0,26.58,55280.0,2007,Utilities,00-0000,Industry Total,,1.1,100.00,100,0.6,13.28,18.88,34.49,44.16,27620.0,39270.0,71740.0,91860.0,,,,
23,7671680.0,20.83,43320.0,17.76,36950.0,2007,Construction,00-0000,Industry Total,,0.2,100.00,100,0.2,10.16,13.05,25.47,35.22,21120.0,27140.0,52980.0,73260.0,,,,
31-33,13960700.0,20.09,41790.0,16.13,33550.0,2007,Manufacturing,00-0000,Industry Total,,0.3,100.00,100,0.3,9.19,11.74,23.93,36.18,19110.0,24420.0,49780.0,75250.0,,,,
