Year,Total_Employed,Women_Percent,Black_Percent,Asian_Percent,Hispanic_Percent,Industry_Code,Classification_System
1998,20253.0,54.52350762849949,17.77901051696045,0.0,14.224287759838049,90,SOC
1998,3502.0,19.100000000000005,4.900000000000001,0.0,22.600000000000005,07,SOC
1999,130.0,0.9,6.3,0.0,11.6,10,SOC
1999,11066.0,11.064070124706308,11.139300560274716,0.0,16.80797035966022,15,SOC
1999,21696.03022703017,24.379698632002526,14.710761037120927,0.0,16.11493117089119,20,SOC
1999,7475.0,19.22981939799331,15.192401337792644,0.0,12.135866220735787,40,SOC
1999,990.0,42.2,21.1,0.0,8.4,43,SOC
1999,158.0,81.7,18.6,0.0,13.7,48,SOC
1999,248.0,4.0,8.2,0.0,8.2,49,SOC
1999,1526.0,26.8,2.9,0.0,5.3999999999999995,50,SOC
1999,6866.0,63.89999999999999,12.5,0.0,10.400000000000002,52,SOC
