year,sic_code,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
2003,5.0,18420.337712624936,1136.6692206416656,1220.1364042166656,6.170729540222354,6.6238546939365195
2003,7.0,11580.854700508266,3935.5325256833453,4438.312889158348,33.98309215908409,38.324571060921414
2003,9.0,6249.456616166691,2006.1469824499973,2243.424335408333,32.101142637910385,35.89791038159748
2004,1.0,497.14316624166673,56.51390013333335,58.020717116666674,11.36773146467457,11.67082664643572
2004,5.0,18847.234076091638,1041.0394654833328,1122.0683189249994,5.523566276517609,5.953490652235181
2004,7.0,11785.038346258472,3922.343973691653,4434.093077349993,33.282403149217785,37.624765801103514
2004,9.0,6358.430712166676,2031.976104499997,2260.152239908333,31.95719504518416,35.54575558374169
2005,1.0,603.4768969916663,47.846958683333334,57.26160915833334,7.92854853629866,9.488616622074945
2005,5.0,19100.58486994997,1037.805023616667,1145.8234171583333,5.433367777388827,5.9988917876593515
2005,7.0,11958.258784316695,4067.223087308329,4576.525915299996,34.011833667979396,38.270838571432556
2005,9.0,6578.174706425046,2095.6390491583334,2304.881828166662,31.8574550340154,35.038318850294964
2006,1.0,633.712125783334,47.654124283333324,55.75744472499999,7.519837848207161,8.798544710830331
2006,5.0,19349.429301224907,967.5451581499997,1038.8624393249995,5.00038085406865,5.368956485239773
2006,7.0,12194.346170891615,4072.317485883332,4583.153936325004,33.395127781464126,37.58425316205286
2006,9.0,6514.829587000002,2039.7895331083332,2243.421325874998,31.309944579035886,34.43561026295494
2007,1.0,712.4453428499991,67.70935893333333,73.87726611666665,9.5037969737405,10.369534569646424
2007,5.0,18998.77901900005,1000.3928699583328,1087.7120323249997,5.2655640078653105,5.725168081786808
2007,7.0,12581.560190233338,4203.496122449995,4724.787168383329,33.40997506583511,37.55326920464944
2007,9.0,6716.47148830833,2099.6223407833327,2299.8101307833335,31.260794368564532,34.24134435449802
2008,1.0,779.8441179916668,55.69102311666668,62.92421306666669,7.14130193866023,8.068819346706809
2008,5.0,18748.5250905749,987.7871619249997,1111.3631002916657,5.268612635676455,5.927736154831511
2008,7.0,12897.806588908328,4408.527246433344,4956.641497275005,34.18044158162928,38.43011184194332
2008,9.0,6777.285122941668,2235.959472924995,2441.15943328333,32.99196407357997,36.01972455046645
2009,1.0,664.2173828749999,56.670495108333334,62.603290408333336,8.531919905956187,9.425120754497742
2009,5.0,17953.076321991583,947.0783703583337,1042.407326841667,5.275298524733681,5.806288059750364
2009,7.0,12849.306957441708,4362.264291466669,4833.193798041667,33.949413037722266,37.61443176701846
2009,9.0,6857.129099449981,2285.7759604416665,2508.4625055833344,33.334299636053395,36.58181826829746
2010,1.0,696.2663990666658,55.48357776666668,61.03312109166667,7.968728325974303,8.76577143080301
2010,5.0,17914.271011674875,876.9687320249993,970.4770956083328,4.895363765868406,5.417340705495998
2010,7.0,12841.904096308243,4247.347029116654,4718.64358754166,33.07412200919387,36.74411171547499
2010,9.0,6957.733857749995,2171.6916261416663,2419.9643531500014,31.2126285733492,34.78092727640741
2011,1.0,782.9043481916665,56.496962074999985,61.12180975833331,7.216330092621826,7.8070596873693425
2011,5.0,18118.15595654999,874.765487808334,975.670564200001,4.828115454498519,5.3850434146819515
2011,7.0,12640.759660950069,4211.946984816678,4675.435356558339,33.32036284044113,36.9869808616149
2011,9.0,6784.573676666632,2221.667824016666,2462.5588019666698,32.74587217848899,36.2964412994121
2012,1.0,925.5941201083335,66.78051925,72.19654884166664,7.214881533839461,7.800022415139868
2012,5.0,18312.584993116685,872.1632992250003,978.8253270000001,4.762644375727556,5.345096431595649
2012,7.0,12641.78887006672,4012.954623741661,4469.800955008334,31.743566238822034,35.35734539588734
2012,9.0,6681.104176575003,2129.758507883333,2319.5925070999997,31.877343199505848,34.71869987049227
2013,1.0,1032.244155775,56.44597920833332,68.17028095833334,5.468277915892307,6.604084951893157
2013,5.0,18117.17790481666,848.4906623333342,937.9763463000014,4.683348956394324,5.177276236000473
2013,7.0,12718.235344449991,3988.5772308916617,4430.528868716662,31.361089985114994,34.836034628420876
2013,9.0,6694.60975956667,2147.6115199916644,2359.232831425001,32.07971184463298,35.24078200456168
2014,1.0,1042.7366017583329,50.216381166666665,60.77203672499997,4.815826075538963,5.8281292344128
2014,5.0,18498.37581682498,782.2000921166674,910.2309605500004,4.228479839863706,4.920599351874507
2014,7.0,12948.117529108262,4002.624149208331,4447.834458724993,30.912788211955565,34.35120548393196
2014,9.0,6739.558351316647,2173.731216074995,2393.2203784749936,32.25331843369725,35.51004759840757
2015,1.0,866.9188158416657,46.838563433333306,57.355671633333294,5.402877706358137,6.616037232696163
2015,5.0,18925.98153042505,886.8342371833331,981.2402043499998,4.685803141874968,5.184619898167905
2015,7.0,13348.917289433384,4186.4262998500035,4664.0352473750045,31.361541981864384,34.93942726775991
2015,9.0,6844.3051366416885,2148.7996017500004,2385.6475457166684,31.395438380533058,34.85594955351801
2016,1.0,764.3423977083337,42.49499673333331,47.8943082833333,5.559680695555112,6.266080283774779
2016,5.0,18625.013316933328,792.2360187583338,899.6112152166678,4.253613166751701,4.830123876468679
2016,7.0,13458.378353433383,4069.5463581833237,4556.7950548166555,30.238014204327495,33.858425845593544
2016,9.0,6855.920469433354,2054.3110919166666,2242.4630352583326,29.964044960493197,32.70841669264104
