year,sic_code,naics_code,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1996,5.0,44.0,19379.162742224904,1070.5152444666671,1195.3939011416658,5.524053121934628,6.168449674748041
1996,6.0,52.0,7071.36453229999,230.0414448916667,284.08532367500015,3.2531408024703374,4.017404595356085
1996,7.0,56.0,6189.824821999958,197.13138688333333,248.04477090833333,3.1847652001828277,4.007298720744556
1996,7.0,71.0,7047.020134641684,878.0112949083331,1021.2256824333339,12.459327178479485,14.491595921703146
1996,7.0,81.0,3530.638128483338,209.94076617500002,236.37630680833325,5.946255564434881,6.695002382186186
1996,9.0,92.0,5790.482349216681,1861.1709637916636,2153.6155765083276,32.14189857678156,37.19233470765458
1997,0.0,11.0,1781.9866440083351,43.05400966666667,49.65026867500001,2.4160680334742897,2.786231246005218
1997,1.0,21.0,6810.547683583334,1307.282148283336,1373.8561777750026,19.194963592054556,20.17247718691774
1997,2.0,31.0,20033.544126033354,3270.33656361667,3462.7873915583377,16.324303593226457,17.284946536536623
1997,4.0,22.0,1465.6869411166663,471.4968589999999,492.14576320833334,32.16900183614787,33.577822753430624
1997,4.0,48.0,5344.414511416692,1897.9829336583336,2033.5490437916683,35.51339308737896,38.049987317555896
1997,4.0,51.0,1714.3010216916664,366.65868843333266,395.75060763333255,21.388232509569125,23.085245976392592
1997,5.0,42.0,4308.145840516661,252.9231516416666,286.0426400833333,5.870812200993975,6.639576529494395
1997,5.0,44.0,19464.58645985833,1076.5091241416676,1200.758826258333,5.530603623980116,6.168940854380077
1997,6.0,52.0,7294.027199724976,216.35420401666656,264.7185687666665,2.9661831261723877,3.629251187555865
1997,7.0,56.0,6689.915981791645,208.29147606666666,267.40824740833347,3.1135140804994617,3.9971839427603415
1997,7.0,71.0,7233.098205025022,841.7743367000002,982.2398188833338,11.6378115275028,13.579793762525528
1997,7.0,81.0,3577.9272338416613,148.8730734833333,177.29801464166655,4.160874823703068,4.955327569680606
1997,9.0,92.0,5724.306008300011,1827.2916839499985,2088.6785192833327,31.921628251538266,36.48789069373359
1998,0.0,11.0,1829.7359615083315,35.69419355833333,41.865739858333335,1.950783845823801,2.288075478596462
1998,1.0,21.0,7003.179415633342,1285.1890128416655,1347.2331001166663,18.35150774479248,19.237449452019035
1998,2.0,31.0,19821.913808466667,3137.427087791668,3328.0082687666663,15.82807350545313,16.789540611084444
1998,4.0,22.0,1496.866936566666,474.51805611666674,504.1334843416667,31.70075071636357,33.6792450969615
1998,4.0,48.0,5485.427417508362,1913.074956741667,2018.0278203833327,34.87558600512192,36.7888893022666
1998,4.0,51.0,1785.1075298666647,407.1349876583333,428.96479390833315,22.8073088509544,24.030193516710664
1998,5.0,42.0,4439.184382308339,260.2880210333333,275.7164970916667,5.8634199126909365,6.210971956706525
1998,5.0,44.0,19915.19080655003,1034.869657675001,1129.0351283666669,5.196383342381216,5.669215722479202
1998,6.0,52.0,7623.073202008302,205.30311238333323,256.44260644999986,2.69318038726489,3.364031797339161
1998,7.0,56.0,6843.053608441661,206.16453872499997,259.8573236749999,3.0127564464886447,3.7973883962334782
1998,7.0,71.0,7292.515392024997,833.6396238583347,961.7749826333348,11.431441403195288,13.188521805317269
1998,7.0,81.0,3691.4374005083414,201.44693190833334,218.90392518333334,5.457140675894773,5.930045709381079
1998,9.0,92.0,5899.187620341655,1959.629262891669,2212.712404766663,33.218629225055494,37.50876471764959
1999,0.0,11.0,1821.2835091583352,56.07507537500001,63.684925541666665,3.0788767972161475,3.49670576938882
1999,1.0,21.0,7281.083029025039,1420.3962342749992,1478.4205999833325,19.508035118028243,20.30495455263745
1999,2.0,31.0,19408.218161983365,3036.693416241668,3226.5947055416696,15.646430758852011,16.624888893004577
1999,4.0,22.0,1450.1733344583322,454.95887665000043,478.2760137083337,31.3727239247532,32.98061013423468
1999,4.0,48.0,5622.961772858328,1902.8576177749974,2026.0322856083324,33.84084215119455,36.031407778510236
1999,4.0,51.0,1870.8553133916657,437.22096009166694,462.4680765833338,23.37011082375103,24.71960676343952
1999,5.0,42.0,4586.358483383337,250.4902729083333,282.87193289999993,5.461637458473322,6.167680392295163
1999,5.0,44.0,20185.314809325035,1040.490160333332,1138.197754116663,5.154688793125264,5.6387416538623825
